Type,IOC
SHA1,4dd6e4603a0b529dd5228afdc42349614ffdde12
SHA1,23873bf2670cf64c2440058130548d4e4da412dd
SHA1,feefff10a5bab6c7a8a6217e2fa807e398cf3d2e
SHA1,11b831d9811728379770e544c8ae26de041b54f5
SHA1,573bfabbb78a4096da99a70e184e304a46fecd02
SHA1,5c1cb543e8be0e220334c4895a7f211c4d580fef
SHA1,33ae0d0cd0ea9e30f26815bc9487bf6c09f349ac
SHA1,20a29f095646b5311e6d2bc156b70aece427b04b
SHA1,c03fbe00bda22f030e7fd9854ec376b3df8b6803
SHA1,bcd7cda470a09a336a5427722f6387e35c139d88
SHA1,d97a3d721fda9d23164ca51d31c464394410f5f5
SHA1,50f97ed0a4719a75ef7bd31c38a829ec0d155e92
SHA1,c4e6099c945fb3a686f0a5f32108f3ca1334d3be
SHA1,32d4ebf37fde33f11a343b5fb1c975d5645e4dca
SHA1,c371f7d1fb59fd13d69b4b549f1c604ead6084cf
SHA1,1fab4ee4f631bbc70a2636679416871c2e0f9d27
SHA1,29dd74f3c7b908336a7482e34fbc46700fb51660
SHA1,8df8e4ba1d4238efd0d42b6e5e73627af59d5b93
SHA1,8d7307b490bf258572530fba14b0462b7cb974e7
SHA1,3f4499b01e23549ce5c2992ffaf098de9ed4cbc6
SHA1,df98cee6bd75ff62eec1782503b9bbe5810c74f0
SHA1,51590d315ea1ee5fb199aa1dd03250367e535598
SHA1,d1ab027bd48dba64b2c117e24f9354a8b4d60fd1
SHA1,bcbf62ac9560eb1da549c2dc36ab194e69f840e4
SHA1,ea294c2fbf6ed5688c9caa40ea85048ade35cb51
SHA1,93eb56f6278cda44794796d2e5ec11ac1b437df9
SHA1,86b68d667a0dffa7cfa32241d6081aedcccb5d30
SHA1,3a215e83712463c5efa99d4439ac9059e647808c
SHA1,f6265c6f0edcb5ab41e57f4488966aede9cf200e
SHA1,7010ff8d789cfaae4411fef1809e06b80a545189
SHA1,b78c915a41dec2343119cf87afcf9d60ef8b5f70
SHA1,6316f89c62fb21bd187ea65f6975ae770554c8fa
SHA1,8988a8920ccc2dc24d2fb94016a39f4802caba26
SHA1,acef74ecd00f405eb65eb69a51009b295c1ba6ba
SHA1,a40fd14e43a762456f9ab8ee2794a53e0e4eb89f
SHA1,824d3ce44daf91298ac89e062951b72ea5a081b8
SHA1,78819314f0a80975cdb900b8edd3443293831e6f
SHA1,dba396b7ec71bdc380630f2f5bab2f5147024708
SHA1,07101861935b05ab0c02e491d8bf4b6a23e68864
SHA1,6ddda73889ac70b077ab86ef5969493faba55560
SHA1,d084366d64fd4175fb633a22655fc817249dce84
SHA1,869ccb003f779262a7d0e6bbd85825f2f24f9439
SHA1,71c23342f56fd45fc9e3979b0e17304ded0a6af1
SHA1,bb0b196ee753e9d62e1b43c4c4d75610525d4e4b
SHA1,9a30b194d30839a03a2a32583e57aebd1d6117fa
SHA1,c3b5dc6f5cdf94b37cd31056384b84ddf2a97519
SHA1,31bdc25660a7d689688209fd82bd4ae176226943
SHA1,b1e572d169876922a2e64a23a890b72d06c306bd
